ID,Question,Answer,Category,Source
16,How long can I keep a borrowed book?,"UG students, PG students and research scholars can keep borrowed books for 14 days. The library provides an online renewal facility for eligible books. Students should return books within the prescribed period to avoid applicable overdue charges. Reference books and certain other resources have separate issue restrictions.",Library,Student Handbook 2025-2026
17,How can I download my hall ticket?,Students can download their e-hall ticket through the Student Dashboard when it is released for the examination. A hard copy of the e-hall ticket must be brought to the examination hall. Students must also carry their valid identity card. They should check the official examination communication for the release of the hall ticket and related instructions.,Examination,Student Handbook 2025-2026
18,What is the passing requirement?,"For Semester End Examinations, students must obtain the prescribed minimum marks to pass the course. The handbook specifies a minimum SEE requirement of 45 marks out of 100. The combined Internal and External assessment requires 50 marks out of 100. Students must also satisfy the applicable attendance and examination eligibility requirements.",Examination,Student Handbook 2025-2026
19,How can I apply for revaluation?,"Students can apply for review, revaluation or both for eligible theory or theory-with-lab courses. The application must be submitted within two working days after the results are published. The prescribed application form and required fee must be submitted to the Office of the Controller of Examinations. Students should follow the examination office instructions for the applicable procedure.",Examination,Student Handbook 2025-2026
20,What are the placement eligibility criteria?,Students must maintain a minimum 60% aggregate throughout their academics to participate in placement activities. They must also qualify in Personalized Skill. Eligible students can participate in placement activities beginning from the pre-final year. Registered students are required to attend the training programmes and assessments conducted by the Training and Placement Cell.,Placement,Student Handbook 2025-2026
21,Is a resume required for placement?,"A strong and formal resume is an important requirement for placement preparation and participation. Students should prepare a clear resume containing their academic details, technical skills, projects and relevant achievements. The handbook also requires students to maintain an active GitHub profile showcasing technical skills and projects. Students should carry the required interview file and documents during placement activities.",Placement,Student Handbook 2025-2026
22,Is Wi-Fi available on campus?,"Yes, the campus provides Wi-Fi connectivity for students and staff. The handbook records a Wi-Fi facility with download and upload speeds of approximately 92.85 Mbps and 94.58 Mbps. Students use their institutional login credentials to access the network. The handbook also specifies a daily usage limit of 5 GB.",Facilities,Student Handbook 2025-2026
23,Are computer labs available?,"Yes, computer facilities are available across the campus. The handbook records 4,885 computers and 184 printers in laboratories, libraries, classrooms and administrative areas. These systems support programming, assignments, simulations, academic work and research activities. The campus also provides technical support for computer-related issues.",Facilities,Student Handbook 2025-2026
24,Is there a medical facility?,"Yes, the institute has a centralized medical centre that provides medical support 24 hours a day and 7 days a week. The facility has resident medical officers, nursing staff and nursing assistants. A 24/7 ambulance service is also available for emergency situations. Emergency transfers can be arranged to hospitals in Sathyamangalam, Coimbatore or Erode.",Facilities,Student Handbook 2025-2026
25,What happens after I am selected for admission?,"After selection, students must complete document verification and submit all required certificates. They should complete the prescribed admission formalities and pay the applicable fees within the specified period. Admission is confirmed only after successful completion of all required procedures.",Admissions,Student Handbook 2025-2026
26,How can I confirm my admission?,"Admission is confirmed after completing document verification, submitting the required forms and paying the prescribed fees. Students should ensure that all admission formalities are completed within the specified timeline. The exact procedure depends on the applicable admission process.",Admissions,Student Handbook 2025-2026
27,Is an admission fee required?,"Yes, admission-related fees may be applicable according to the institutional regulations. Students must pay the prescribed amount within the specified period to complete admission. The exact fee amount depends on the programme and current admission notification.",Fees,Student Handbook 2025-2026
28,When should the admission fee be paid?,Admission fees must be paid within the timeline specified in the admission process. Delayed payment may affect admission confirmation. Students should follow the fee instructions provided during admission.,Fees,Student Handbook 2025-2026
29,How can I pay the admission fee?,Fees can be paid through CAMPS by selecting Student → Fees → Fee Payment. Net banking is supported through the payment gateway. NEFT/RTGS payment using Student Virtual Account details is also permitted.,Fees,Student Handbook 2025-2026
30,Can I cancel my admission?,"Admission cancellation depends on the applicable institutional rules and regulations. Students should submit the required request and complete the prescribed cancellation procedure. Refunds, if applicable, are processed according to institutional policy.",Admissions,Student Handbook 2025-2026
31,Is the admission fee refundable,Fee refunds are processed according to the institution's refund policy. The exact refund amount and conditions depend on the applicable rules. Students should contact the concerned office for refund-related procedures.,Fees,Student Handbook 2025-2026
32,Who should I contact for admission queries?,"Students should contact the designated admission office for admission-related information. The office provides support regarding eligibility, applications, counselling, document verification and admission procedures.",Admissions,Student Handbook 2025-2026
33,Where is the admission office?,The Student Handbook does not specify a fixed location for the admission office. Students should refer to the institution's official communication channels for current office details and timings.,Admissions,Student Handbook 2025-2026
34,How can I get help with my admission application?,"Students can seek assistance from the admission office during the application process. Help may be available for registration, document submission, counselling and fee payment procedures.",Admissions,Student Handbook 2025-2026
35,How can I pay semester fees?,Students can pay fees through CAMPS by selecting Student → Fees → Fee Payment. Payments can be made using net banking through the payment gateway. NEFT/RTGS using Student Virtual Account details is also allowed.,Fees,Student Handbook 2025-2026
36,What is the semester fee?,The Student Handbook does not specify one common semester fee for all programmes. Fee amounts vary depending on the course and applicable regulations. Students should refer to the fee notification for the exact amount.,Fees,Student Handbook 2025-2026
37,When should semester fees be paid?,Semester fees must be paid within the prescribed payment period announced by the institution. Students should complete payment before the due date to avoid any restrictions.,Fees,Student Handbook 2025-2026
38,What is the last date for fee payment?,The fee payment deadline is announced through official notifications. Students should regularly check the student portal and institutional communications for current dates.,Fees,Student Handbook 2025-2026
39,Is there a late fee for delayed payment?,The Student Handbook does not specify a universal late fee amount. Any penalty or additional charges depend on the applicable fee regulations.,Fees,Student Handbook 2025-2026
40,What happens if I don't pay fees on time?,Delayed payment may result in restrictions according to institutional rules. Students should complete fee payment within the prescribed period to avoid any issues related to academic activities or services.,Fees,Student Handbook 2025-2026
41,Can I pay fees online?,Yes. Students can pay fees online through CAMPS using the fee payment option. Net banking and NEFT/RTGS methods are supported according to the handbook.,Fees,Student Handbook 2025-2026
42,Can I pay fees through the student portal?,Yes. Fee payment can be completed through CAMPS by selecting Student → Fees → Fee Payment. Students should retain the payment confirmation for future reference.,Fees,Student Handbook 2025-2026
43,Can I pay fees using UPI?,"The handbook specifically mentions payment gateway, net banking and NEFT/RTGS methods. UPI is not specifically mentioned as an approved payment mode.",Fees,Student Handbook 2025-2026
44,Can I pay fees using net banking?,Yes. The handbook specifically permits payment through the payment gateway using net banking. Students can access this facility through CAMPS.,Fees,Student Handbook 2025-2026
45,How can I get my fee receipt?,Fee receipts can be obtained after successful payment through the prescribed payment system. Students should save or print receipts for future reference.,Fees,Student Handbook 2025-2026
46,What should I do if my fee payment failed?,"Students should verify the transaction status and retain payment details. If the amount is deducted but not updated, they should contact the concerned office with transaction information.",Fees,Student Handbook 2025-2026
47,What should I do if money was deducted but payment failed?,Students should keep the transaction reference details and contact the concerned office for support. The issue should be reported with proper proof of payment.,Fees,Student Handbook 2025-2026
48,Can I pay fees in installments?,The handbook does not provide a general installment payment scheme. Students should contact the concerned authority for applicable options.,Fees,Student Handbook 2025-2026
49,Are there additional examination fees?,Examination fees may be applicable according to examination regulations. The exact amount depends on the current examination notification.,Fees,Student Handbook 2025-2026
50,What is the hostel fee?,The handbook does not specify one common hostel fee for all students. Hostel charges depend on the applicable accommodation type and regulations.,Fees,Student Handbook 2025-2026
51,What is the mess fee?,Mess charges are determined according to hostel and mess regulations. The exact amount may vary and should be checked through the concerned office.,Fees,Student Handbook 2025-2026
52,How can I check my pending fees?,Students can check fee-related information through the student portal or concerned office. Updated payment details should be verified regularly.,Fees,Student Handbook 2025-2026
53,Can I get a duplicate fee receipt?,Students can request a duplicate fee receipt from the concerned office if required. Supporting payment details may need to be provided.,Fees,Student Handbook 2025-2026
54,Can I get a refund of my fees?,Refunds are processed according to the applicable institutional policy. The exact conditions depend on the refund rules in force.,Fees,Student Handbook 2025-2026
55,How can I apply for a fee concession?,Eligible students may apply according to the prescribed fee concession procedure. Supporting documents may be required for verification.,Fees,Student Handbook 2025-2026
56,Who should I contact about fee problems?,Students should contact the accounts or finance office for fee-related issues. Payment-related queries should be supported with transaction details.,Fees,Student Handbook 2025-2026
57,Where is the accounts office?,The handbook does not specify a fixed location for the accounts office. Students should use official communication channels to obtain current details.,Fees,Student Handbook 2025-2026
58,What are the accounts office timings?,The accounts office functions according to institutional working hours. Students should check official announcements for exact timings.,Fees,Student Handbook 2025-2026
59,How can I apply for hostel admission?,Students should follow the prescribed hostel admission procedure and submit the required forms. Hostel allocation depends on institutional rules and availability.,Hostel,Student Handbook 2025-2026
60,What is the hostel admission procedure?,"Hostel admission is carried out according to the rules prescribed by the institution. Students may need to complete applications, submit documents and pay applicable charges.",Hostel,Student Handbook 2025-2026
61,Is there a prescribed form for hostel admission?,Students should use the prescribed hostel application form whenever required. The exact process depends on hostel regulations.,Hostel,Student Handbook 2025-2026
62,Who approves hostel admission?,Hostel admissions are approved by the designated hostel authorities according to institutional rules.,Hostel,Student Handbook 2025-2026
63,Is hostel admission renewed every year?,Hostel accommodation is subject to renewal according to hostel regulations. Students should follow the annual renewal process.,Hostel,Student Handbook 2025-2026
64,Do I need to apply again every year for hostel?,Yes. Students should follow the annual renewal procedure prescribed by hostel authorities.,Hostel,Student Handbook 2025-2026
65,Is an undertaking required for hostel admission?,Students may be required to submit an undertaking according to hostel regulations. The undertaking confirms that students agree to follow hostel rules and discipline requirements.,Hostel,Student Handbook 2025-2026
66,Can hostel residents be asked to vacate?,Yes. Students may be required to vacate the hostel according to institutional decisions or violations of hostel regulations.,Hostel,Student Handbook 2025-2026
67,Who manages the hostel?,"The hostel is managed by designated wardens, deputy wardens, hostel managers and supporting staff according to institutional rules.",Hostel,Student Handbook 2025-2026
68,What is the role of the Hostel Council?,"The Hostel Council addresses hostel-related matters, student welfare and suggestions according to prescribed procedures.",Hostel,Student Handbook 2025-2026
69,Can students give suggestions about the mess menu?,Yes. Students can provide suggestions regarding the mess menu through the prescribed hostel mechanism.,Hostel,Student Handbook 2025-2026
70,Who allots hostel rooms?,Hostel rooms are allotted by hostel authorities according to availability and institutional regulations.,Hostel,Student Handbook 2025-2026
71,Can I choose my hostel room?,Room selection depends on hostel allocation policies and availability. Students should follow the prescribed room allotment procedure.,Hostel,Student Handbook 2025-2026
72,Can I change my allotted hostel room?,Room changes require permission from hostel authorities. Students should submit requests according to hostel procedures.,Hostel,Student Handbook 2025-2026
73,Is permission required to change rooms?,Yes. Approval from the appropriate hostel authority is mandatory before changing rooms.,Hostel,Student Handbook 2025-2026
74,What furniture is provided in hostel rooms?,Hostel rooms contain furniture provided according to institutional facilities. Students should maintain hostel property properly.,Hostel,Student Handbook 2025-2026
75,Should I bring my own bedding?,Students should follow hostel instructions regarding bedding and personal belongings. Specific requirements depend on hostel regulations.,Hostel,Student Handbook 2025-2026
76,Can I use a laptop in the hostel?,Yes. Laptop usage is permitted subject to hostel rules and responsible use guidelines.,Hostel,Student Handbook 2025-2026
77,Is permission required to use a laptop?,Students should comply with any applicable permission or undertaking requirements related to laptop usage.,Hostel,Student Handbook 2025-2026
78,Is ragging prohibited in the hostel?,Yes. Ragging is strictly prohibited. Disciplinary action will be taken against students involved in ragging activities.,Hostel,Student Handbook 2025-2026
79,Is smoking allowed in the hostel?,No. Smoking is prohibited in all hostel premises. Violations may lead to disciplinary action.,Hostel,Student Handbook 2025-2026
80,Are alcoholic drinks allowed in the hostel?,No. Possession or consumption of alcohol is prohibited in the hostel. Strict action may be taken for violations.,Hostel,Student Handbook 2025-2026
81,Are drugs allowed in the hostel?,No. Drugs and prohibited substances are not permitted in the hostel under any circumstances.,Hostel,Student Handbook 2025-2026
82,How can I apply for hostel leave?,Students going home must obtain mentor approval through CAMPS. Emergency leave is approved by the Deputy Warden. Students must also register OUT and IN entries at hostel gates.,Hostel,Student Handbook 2025-2026
83,When can parents visit the hostel?,Parents may visit their wards between 6:00 AM and 6:00 PM. Other relatives are generally not permitted unless accompanied by parents.,Hostel,Student Handbook 2025-2026
84,What are the parent visiting hours?,Parent visiting hours are from 6:00 AM to 6:00 PM according to hostel regulations.,Hostel,Student Handbook 2025-2026
85,When should hostel biometric attendance be registered?,Hostel students must register biometric attendance daily between 7:00 PM and 8:15 PM.,Hostel,Student Handbook 2025-2026
86,What happens if I miss hostel biometric attendance?,Missing biometric attendance may lead to blocked attendance and mail facilities. Parents may also be informed.,Hostel,Student Handbook 2025-2026
87,On which days can students go for outing?,"Boys can go for outing on Tuesdays and Thursdays, while girls can go on Wednesdays and Fridays during prescribed timings. First-year students are not permitted for outing.",Hostel,Student Handbook 2025-2026
88,How can I report a hostel maintenance problem?,Students should report maintenance complaints through the prescribed hostel complaint system or hostel authorities.,Hostel,Student Handbook 2025-2026
89,Where should hostel garbage be disposed of?,Waste should be disposed of only in designated locations to maintain cleanliness and hygiene.,Hostel,Student Handbook 2025-2026
90,Can students take meals to their hostel rooms?,Meals may be taken to rooms only when permitted under hostel rules.,Hostel,Student Handbook 2025-2026
91,What are the hostel cleanliness rules?,Students must maintain room cleanliness and follow all housekeeping rules prescribed by the hostel.,Hostel,Student Handbook 2025-2026
92,What are the library timings?,The Learning Centre operates from 8:30 AM to 9:00 PM on weekdays and from 8:30 AM to 5:00 PM on Sundays.,Library,Student Handbook 2025-2026
93,When does the library open?,The Learning Centre opens at 8:30 AM.,Library,Student Handbook 2025-2026
94,When does the library close?,The library closes at 9:00 PM on weekdays and 5:00 PM on Sundays.,Library,Student Handbook 2025-2026
95,Is the library open on weekends?,Yes. The Learning Centre is open on Sundays from 8:30 AM to 5:00 PM.,Library,Student Handbook 2025-2026
96,Is the library open on holidays?,Holiday operation depends on institutional announcements. Students should verify the schedule in advance.,Library,Student Handbook 2025-2026
97,Who can use the library?,"Students, faculty members and authorized users can access the library facilities according to library rules.",Library,Student Handbook 2025-2026
98,Is an ID card required to enter the library?,Students should carry a valid identity card while using library facilities.,Library,Student Handbook 2025-2026
99,How can I borrow a book?,Books can be borrowed using the RFID-based library system according to borrowing regulations.,Library,Student Handbook 2025-2026
100,How many books can I borrow?,"UG, PG and research scholars can borrow six books for 14 days.",Library,Student Handbook 2025-2026
101,How long can I keep a borrowed book?,The borrowing period for students is 14 days. Books can be renewed through the library system if eligible.,Library,Student Handbook 2025-2026
102,How can I renew a borrowed book?,Students can renew books using the online library renewal facility provided through the library management system.,Library,Student Handbook 2025-2026
103,What happens if I return a book late?,Late returns may attract fines according to library regulations. Students should return books on time.,Library,Student Handbook 2025-2026
104,Is there a fine for late book return?,Yes. Overdue books may attract fines according to library rules.,Library,Student Handbook 2025-2026
105,What happens if I lose a library book?,Students who lose a library book must report the loss to the Learning Centre and follow the prescribed replacement or payment procedure. The student may be required to replace the book or pay the applicable cost according to library regulations.,Library,Student Handbook 2025-2026
106,Can I reserve a book?,Book reservation can be made when the facility is provided through the library system. Students can use the library catalogue to identify books and check their availability. The applicable reservation rules of the Learning Centre must be followed.,Library,Student Handbook 2025-2026
107,How can I check book availability?,Students can check book availability through the library catalogue or OPAC facility. The Learning Centre uses an Integrated Library System to manage its collection. Students can search for books and their availability before visiting the library.,Library,Student Handbook 2025-2026
108,Are reference books available?,"Yes, reference books are available in the Learning Centre. They are intended mainly for consultation and academic reference. Reference books are subject to separate borrowing restrictions compared with normal books.",Library,Student Handbook 2025-2026
109,Can reference books be taken home?,Reference books are subject to special issue restrictions. They are generally intended for use within the Learning Centre and are not treated in the same way as regular lending books. Students should follow the library's reference-book issue rules.,Library,Student Handbook 2025-2026
110,Are newspapers available in the library?,Newspapers are available as part of the Learning Centre's information resources. Students can use them for reading and general academic information. Availability depends on the current library collection and subscriptions.,Library,Student Handbook 2025-2026
111,Are journals available?,"Yes, journals are available through the Learning Centre's collection and subscriptions. Students can use journals for academic study, assignments and research. Access is subject to the applicable library rules.",Library,Student Handbook 2025-2026
112,Are digital resources available?,The Learning Centre provides digital learning resources in addition to printed books. Students can access online academic resources and electronic information services provided by the institution. Access depends on the available subscriptions and systems.,Library,Student Handbook 2025-2026
113,Can students access e-books?,Students can access e-books when they are included in the library's digital collection. The Learning Centre provides electronic learning resources along with physical books and journals. Students should use the approved library systems to access them.,Library,Student Handbook 2025-2026
114,Can students access online journals?,Students can access online journals available through the Learning Centre's subscribed digital resources. These resources support academic learning and research. Access must be made through the approved institutional library services.,Library,Student Handbook 2025-2026
115,Is Wi-Fi available in the library?,"The campus provides Wi-Fi connectivity, including access for academic activities in library facilities. Students can use institutional credentials to access the network. The handbook specifies a daily Wi-Fi usage limit of 5 GB.",Library,Student Handbook 2025-2026
116,Are computers available in the library?,"Computer facilities are available across the campus, including library-related learning facilities. The institution has thousands of computers for academic and research purposes. Students can use the available systems according to institutional rules.",Library,Student Handbook 2025-2026
117,Is there a reading room?,The Learning Centre provides facilities for students to read and study. Students can use the library's reading areas during the operating hours. The facilities are intended to support academic learning and reference work.,Library,Student Handbook 2025-2026
118,What are the examination dates?,Examination dates are published through the official examination timetable. Students should check the examination schedule announced by the institution. The handbook provides the examination regulations but does not give one fixed timetable for every semester.,Examination,Student Handbook 2025-2026
119,Where can I get the exam timetable?,Students can obtain the examination timetable through official institutional communication and examination-related portals. The timetable contains the dates and schedule for the relevant examinations. Students should check the latest timetable before the examination period.,Examination,Student Handbook 2025-2026
120,When will the exam timetable be released?,The examination timetable is released according to the schedule decided by the institution. The Student Handbook does not specify one fixed release date for every semester. Students should monitor official examination notifications for the current timetable.,Examination,Student Handbook 2025-2026
121,How can I apply for the examination?,Students must complete the prescribed examination application process within the specified period. Examination registration is subject to the applicable academic and examination regulations. Students should ensure that required fees and other formalities are completed before the deadline.,Examination,Student Handbook 2025-2026
122,When is the exam application deadline?,The examination application deadline is announced through the official examination notification. Students must complete registration within the prescribed period. The Student Handbook does not provide one fixed deadline applicable to every examination.,Examination,Student Handbook 2025-2026
123,How can I download my hall ticket?,Students can download the e-hall ticket from the Student Dashboard after it is released. They must take a hard copy of the e-hall ticket to the examination hall. Students must also carry their valid identity card and follow the instructions provided for the examination.,Examination,Student Handbook 2025-2026
124,When will the hall ticket be available?,The e-hall ticket is made available through the Student Dashboard according to the examination schedule. Students should download it as soon as it is released. The hall ticket contains important examination information and must be carried to the examination hall.,Examination,Student Handbook 2025-2026
125,Is an ID card required during the examination?,Yes. Students must carry their valid institutional identity card during the examination. The identity card is used for verification at the examination venue. Students should also carry the printed e-hall ticket.,Examination,Student Handbook 2025-2026
126,What should I do if I lose my hall ticket?,"If a student loses the hall ticket, they should contact the examination office and follow the prescribed procedure. Since the e-hall ticket is available through the Student Dashboard, the student should check whether another copy can be downloaded. The examination office should be contacted if further assistance is required.",Examination,Student Handbook 2025-2026
127,Where can I find my exam centre?,The examination centre and related examination information are provided through the hall ticket or official examination communication. Students should carefully check the venue details before the examination. They should report to the assigned centre at the prescribed time.,Examination,Student Handbook 2025-2026
128,When should I reach the examination hall?,Students should reach the examination hall before the reporting time mentioned in the examination instructions. They should allow sufficient time for identity verification and seating. Students must follow the entry and examination instructions issued by the institution.,Examination,Student Handbook 2025-2026
129,What are the examination hall rules?,Students must maintain discipline and follow all instructions issued by the examination authorities. They must carry the required identity card and hall ticket and sit in the allotted place. Any prohibited activity or material can lead to action under examination regulations.,Examination,Student Handbook 2025-2026
130,What items are allowed inside the exam hall?,Students may carry only the materials permitted by the examination instructions. Required examination documents such as the hall ticket and identity card must be carried. Other items are permitted only when specifically allowed by the examination authorities.,Examination,Student Handbook 2025-2026
131,What items are prohibited in the exam hall?,Students must not carry materials or devices prohibited by the examination regulations. Electronic devices and unauthorized materials may not be permitted. Students should follow the specific instructions issued for each examination.,Examination,Student Handbook 2025-2026
132,What happens if I miss an examination?,A student who misses an examination is subject to the applicable examination regulations. The student should immediately contact the examination office if there is a genuine issue. Any further opportunity or procedure depends on the regulations applicable to the examination.,Examination,Student Handbook 2025-2026
133,When will exam results be published?,Examination results are published after the evaluation and result-processing procedures are completed. The exact date is announced through official examination communication. Students can check their results through the prescribed student or examination portal.,Examination,Student Handbook 2025-2026
134,Where can I check my results?,Students can check examination results through the official student or examination portal. Results are published after completion of the examination evaluation process. Students should use their institutional login credentials where required.,Examination,Student Handbook 2025-2026
135,How can I download my mark sheet?,Students can obtain or download their mark sheet through the prescribed examination or student portal. The document contains the student's academic performance and examination results. Students should follow the instructions issued by the examination office.,Examination,Student Handbook 2025-2026
136,How can I apply for revaluation?,"Students can apply for review, revaluation or both for eligible theory and theory-with-lab courses. The application must be submitted within two working days after publication of results. The prescribed form and required fee must be submitted to the Office of the Controller of Examinations.",Examination,Student Handbook 2025-2026
137,What is the passing requirement?,"For Semester End Examinations, students must obtain at least 45 marks out of 100 in the SEE. They must also obtain at least 50 marks out of 100 when Internal and External marks are combined. Students must additionally satisfy the applicable attendance requirements.",Examination,Student Handbook 2025-2026
138,What are the attendance requirements for examinations?,Students must satisfy the attendance requirements prescribed by the academic regulations to become eligible for Semester End Examinations. Attendance shortage may affect examination eligibility. Students should maintain the required attendance throughout the semester.,Examination,Student Handbook 2025-2026
139,What is the minimum attendance requirement?,The applicable minimum attendance requirement is prescribed by the academic regulations. Students must maintain the required attendance to remain eligible for examinations. The exact requirement should be checked against the regulations applicable to the student's programme and batch.,Attendance,Student Handbook 2025-2026
140,How is student attendance calculated?,Attendance is calculated based on the student's participation in scheduled academic activities according to institutional attendance regulations. Faculty members record attendance during classes and other applicable academic sessions. The recorded attendance is used to determine examination eligibility.,Attendance,Student Handbook 2025-2026
141,How can I check my attendance?,"Students can check their attendance through the student information system or designated portal. Attendance records should be checked regularly during the semester. If there is an error, the student should report it to the concerned faculty member or academic authority.",Attendance,Student Handbook 2025-2026
142,Where can I see my attendance percentage?,The student's attendance percentage can be viewed through the designated student system when the attendance information is updated. Students should monitor the percentage regularly. This helps them identify shortages before the examination period.,Attendance,Student Handbook 2025-2026
143,How often is attendance updated?,Attendance is updated by the concerned faculty according to the institution's academic process. Students should regularly check their attendance record. Any discrepancy should be reported promptly to the concerned faculty member.,Attendance,Student Handbook 2025-2026
144,What happens if my attendance is low?,Low attendance can affect a student's eligibility to appear for Semester End Examinations. Students should monitor their attendance and take appropriate action when a shortage is identified. The consequences are governed by the applicable academic regulations.,Attendance,Student Handbook 2025-2026
145,What attendance is required for semester examinations?,Students must satisfy the minimum attendance requirement prescribed by the academic regulations before appearing for Semester End Examinations. Attendance is considered part of examination eligibility. Students should maintain sufficient attendance throughout the semester.,Attendance,Student Handbook 2025-2026
146,Can I attend exams with attendance shortage?,"Students with attendance shortage are subject to the applicable academic regulations. Examination eligibility depends on satisfying the prescribed attendance requirements. Any exception or condonation, if available, must follow the official procedure.",Attendance,Student Handbook 2025-2026
147,How can I apply for leave?,Students must submit leave requests through the prescribed institutional procedure. The request should be submitted to the appropriate academic authority for approval. Students should obtain permission before taking leave whenever required.,Attendance,Student Handbook 2025-2026
148,Who should approve my leave?,Leave must be approved by the authority designated under the applicable academic or institutional rules. Students should submit the leave request through the prescribed process before taking leave. Unauthorized absence can affect attendance.,Attendance,Student Handbook 2025-2026
149,How can I submit a leave application?,Students should submit the leave application through the prescribed institutional system or procedure. The application must contain the required details and be sent to the appropriate approving authority. Students should wait for approval when prior permission is required.,Attendance,Student Handbook 2025-2026
150,Can I apply for leave online?,Online leave application is available when the institution provides the facility through its student system. Students should use the prescribed portal and submit the request to the appropriate authority. The request must be approved before leave is taken when prior approval is required.,Attendance,Student Handbook 2025-2026
151,What happens if I take leave without permission?,Unauthorized absence can reduce the student's attendance percentage. It may also result in academic or disciplinary action according to institutional rules. Students should obtain the required permission before taking leave.,Attendance,Student Handbook 2025-2026
152,How can I correct an attendance mistake?,Students should report an attendance error to the concerned faculty member as soon as possible. The faculty member or designated academic authority can verify the attendance record. Corrections must be made through the prescribed institutional process.,Attendance,Student Handbook 2025-2026
153,What should I do if my attendance is marked incorrectly?,The student should contact the concerned faculty member or Class Advisor and explain the discrepancy. Supporting information may be provided if required. The correction should be made only through the authorized academic process.,Attendance,Student Handbook 2025-2026
154,Is attendance compulsory for laboratory classes?,Laboratory attendance is part of the academic attendance requirements. Students are expected to attend scheduled laboratory sessions regularly. Attendance shortage can affect eligibility according to the applicable academic regulations.,Attendance,Student Handbook 2025-2026
